Дата и время;Код класса;Код бумаги;vector_temp;Операция;Цена;Количество
03.11.2021 | 17:49:34;SPBFUT;SiZ1;1;BUY;72618,0;1072,0
03.11.2021 | 18:02:11;SPBFUT;SiZ1;2;SELL;72695,0;308,0
03.11.2021 | 18:02:19;SPBFUT;SiZ1;4;BUY;72700,0;1104,0
03.11.2021 | 18:07:47;SPBFUT;SiZ1;2;SELL;72725,0;389,0
03.11.2021 | 18:08:23;SPBFUT;SiZ1;2;BUY;72725,0;746,0
03.11.2021 | 18:18:27;SPBFUT;SiZ1;2;SELL;72760,0;332,0
03.11.2021 | 18:19:23;SPBFUT;SiZ1;4;BUY;72762,0;331,0
03.11.2021 | 18:40:25;SPBFUT;SiZ1;3;SELL;72755,0;325,0
03.11.2021 | 18:40:44;SPBFUT;SiZ1;1;BUY;72747,0;485,0
03.11.2021 | 19:05:54;SPBFUT;SiZ1;1;SELL;72747,0;359,0
03.11.2021 | 19:16:04;SPBFUT;SiZ1;1;BUY;72715,0;444,0
03.11.2021 | 19:19:09;SPBFUT;SiZ1;3;SELL;72673,0;395,0
03.11.2021 | 19:20:39;SPBFUT;SiZ1;1;BUY;72650,0;500,0
03.11.2021 | 19:26:59;SPBFUT;SiZ1;3;SELL;72623,0;356,0
03.11.2021 | 19:27:42;SPBFUT;SiZ1;1;BUY;72610,0;353,0
03.11.2021 | 19:54:14;SPBFUT;SiZ1;2;SELL;72764,0;483,0
03.11.2021 | 19:57:24;SPBFUT;SiZ1;1;BUY;72738,0;464,0
03.11.2021 | 19:57:29;SPBFUT;SiZ1;3;SELL;72734,0;328,0
03.11.2021 | 20:02:50;SPBFUT;SiZ1;1;BUY;72706,0;478,0
03.11.2021 | 20:05:51;SPBFUT;SiZ1;2;SELL;72715,0;316,0
03.11.2021 | 20:06:11;SPBFUT;SiZ1;4;BUY;72720,0;956,0
03.11.2021 | 20:14:58;SPBFUT;SiZ1;2;SELL;72749,0;1436,0
03.11.2021 | 20:15:35;SPBFUT;SiZ1;1;BUY;72737,0;435,0
03.11.2021 | 20:18:41;SPBFUT;SiZ1;3;SELL;72710,0;494,0
03.11.2021 | 20:19:08;SPBFUT;SiZ1;1;BUY;72698,0;445,0
03.11.2021 | 20:24:22;SPBFUT;SiZ1;2;SELL;72710,0;361,0
03.11.2021 | 20:39:47;SPBFUT;SiZ1;4;BUY;72716,0;422,0
03.11.2021 | 20:47:12;SPBFUT;SiZ1;2;SELL;72736,0;303,0
03.11.2021 | 20:59:08;SPBFUT;SiZ1;1;BUY;72733,0;1195,0
03.11.2021 | 21:01:53;SPBFUT;SiZ1;3;SELL;72530,0;356,0
03.11.2021 | 21:02:02;SPBFUT;SiZ1;4;BUY;72570,0;954,0
03.11.2021 | 21:04:30;SPBFUT;SiZ1;3;SELL;72545,0;1000,0
03.11.2021 | 21:21:46;SPBFUT;SiZ1;4;BUY;72600,0;2766,0
03.11.2021 | 21:25:20;SPBFUT;SiZ1;3;SELL;72590,0;469,0
03.11.2021 | 21:28:06;SPBFUT;SiZ1;4;BUY;72650,0;500,0
03.11.2021 | 21:28:06;SPBFUT;SiZ1;4;SELL;72650,0;500,0
03.11.2021 | 21:35:32;SPBFUT;SiZ1;4;BUY;72709,0;346,0
03.11.2021 | 21:46:48;SPBFUT;SiZ1;3;SELL;72537,0;926,0
03.11.2021 | 21:50:52;SPBFUT;SiZ1;1;BUY;72441,0;567,0
03.11.2021 | 21:51:17;SPBFUT;SiZ1;3;SELL;72440,0;421,0
03.11.2021 | 21:55:34;SPBFUT;SiZ1;4;BUY;72500,0;923,0
03.11.2021 | 22:04:58;SPBFUT;SiZ1;2;SELL;72517,0;1868,0
03.11.2021 | 22:05:03;SPBFUT;SiZ1;4;BUY;72528,0;583,0
03.11.2021 | 22:07:15;SPBFUT;SiZ1;3;SELL;72500,0;524,0
03.11.2021 | 22:07:27;SPBFUT;SiZ1;1;BUY;72485,0;1246,0
03.11.2021 | 22:15:35;SPBFUT;SiZ1;2;SELL;72507,0;731,0
03.11.2021 | 22:17:49;SPBFUT;SiZ1;1;BUY;72466,0;1113,0
03.11.2021 | 22:18:44;SPBFUT;SiZ1;2;SELL;72487,0;350,0
03.11.2021 | 22:23:37;SPBFUT;SiZ1;2;SELL;72500,0;700,0
03.11.2021 | 22:31:35;SPBFUT;SiZ1;1;BUY;72473,0;1373,0
03.11.2021 | 22:55:37;SPBFUT;SiZ1;3;SELL;72425,0;382,0
03.11.2021 | 23:09:29;SPBFUT;SiZ1;1;BUY;72396,0;336,0
03.11.2021 | 23:14:22;SPBFUT;SiZ1;3;SELL;72366,0;477,0
